ID,KEYWORD,CITY,CREATED_AT,created_at_local,TEXT,FROM_USER,FROM_USER_NAME,LOCATION,URLS,HASHTAGS,IS_RETWEET,RETWEET_COUNT,FOLLOWERS_COUNT,FRIENDS_COUNT,STATUSES_COUNT,TIME_ZONE,GEO,TO_USER_NAME,IN_REPLY_TO_STATUS_ID,SOURCE,LANGUAGE,Lat,Long
4.6635E+17,fire,San_Diego_40_mi_real,2014-05-13 22:50:20,2014-05-13 14:50:20,"100 degrees, 5% humidity, 20mph winds....perfect fire weather calls for perfect beer :-)... (Damnation) http://t.co/Q4eQJuY8Af",surfhopper,Kim Mitchell,"San Diego, California, USA",http://untp.it/1jYIMO8,,FALSE,,42,148,3921,Alaska,"32.721700,-116.973000",,,Untappd,en,32.7217,-116.973
4.6635E+17,fire,San_Diego_40_mi_real,2014-05-13 22:52:29,2014-05-13 14:52:29,This fire is killing my vibe #BernardoFire,jaywarrenn,$ili›one Jones,San Diego & Provo,,BernardoFire,FALSE,,196,130,1057,Central Time (US & Canada),"33.007257,-117.068047",,,Twitter for iPhone,en,33.007257,-117.068047
4.6635E+17,fire,San_Diego_40_mi_real,2014-05-13 22:52:30,2014-05-13 14:52:30,When your fam is being evacuated do to a raging brush fire fretting over a season finale disappears. #priorities,AllThingsCastle,Alison Hunter,Sunny San Diego,,priorities,FALSE,,63,127,7290,Pacific Time (US & Canada),"32.606217,-117.051354",,,Twitter for iPhone,en,32.606217,-117.051354
4.66351E+17,fire,San_Diego_40_mi_real,2014-05-13 22:54:16,2014-05-13 14:54:16,Tbh I'd rather have school tomorrow and have everyone out of harms way then not have school and have this fire continue.,cayleeevickkk,Caylee,,,,FALSE,1,289,568,3480,,"32.952756,-117.019929",,,Twitter for iPhone,en,32.952756,-117.019929
4.66351E+17,fire,San_Diego_40_mi_real,2014-05-13 22:54:22,2014-05-13 14:54:22,"""Fire in San Diego"" a wild fire is raging in the Santa Luz area which is near my home. I took this one? http://t.co/EIf5kO0JJo",Media4LifeMin,Freddy Winter,"San Diego, California",http://instagram.com/p/n9FpBom0VL/,,FALSE,1,2375,1767,6302,Pacific Time (US & Canada),"32.993797,-117.144744",,,Instagram,en,32.993797,-117.144744
4.66351E+17,fire,San_Diego_40_mi_real,2014-05-13 22:54:57,2014-05-13 14:54:57,Fucking huge fire is about 1.5 miles from my house. about ready to evacuate. I'll be back when I can guys,U_Mad_Bro42,U Mad Bro,"San Diego, CA ",,,FALSE,,728,328,18963,Pacific Time (US & Canada),"33.020533,-117.111130",,,Twitter for iPhone,en,33.020533,-117.11113
4.66351E+17,fire,San_Diego_40_mi_real,2014-05-13 22:55:06,2014-05-13 14:55:06,"?@jordanbarker21: It's not even a fire, it's just all the red heads of the world having a meeting ??? ????????",cayleeevickkk,Caylee,,,,FALSE,,289,568,3480,,"32.952784,-117.019966",,4.66351E+17,Twitter for iPhone,en,32.952784,-117.019966
4.66351E+17,fire,San_Diego_40_mi_real,2014-05-13 22:56:18,2014-05-13 14:56:18,I'm just really confused do people not see that the mountain is on fire? #BravoDelNorteBravo,siaweleski,Tiff,San Diego - Tucson ,,BravoDelNorteBravo,FALSE,,446,351,10011,Alaska,"33.012191,-117.121059",,,Twitter for iPhone,en,33.012191,-117.121059
4.66352E+17,fire,San_Diego_40_mi_real,2014-05-13 22:58:43,2014-05-13 14:58:43,Say a prayer for north san diego cty over 1200 homes businesses and 2 schools evacuated do to the fire 2 zipcodes evacuated 2 moreon alert,scottpookie1975,scott pook randolph,San Diego Cali,,,FALSE,,253,409,4564,Pacific Time (US & Canada),"32.812786,-117.166901",,,Twitter for Android,en,32.812786,-117.166901
4.66352E+17,fire,San_Diego_40_mi_real,2014-05-13 22:59:39,2014-05-13 14:59:39,Artesian Road &amp; Camino del Sur #Bernardo Fire http://t.co/z6ylrnqhb3,sharonchenfox5,Fox 5 Sharon Chen,San Diego,,Bernardo,FALSE,2,882,331,1160,Pacific Time (US & Canada),"33.016009,-117.157227",,,Twitter for iPhone,sk,33.016009,-117.157227
4.66352E+17,fire,San_Diego_40_mi_real,2014-05-13 23:00:15,2014-05-13 15:00:15,THE FIRE LOOKS LIKE SOME SMOKING A MASSIVE JOINT . Someone took  #turntuptuesday to far . #BernardoFire,Ashplss,Ashley Huynh,,,"turntuptuesday, BernardoFire",FALSE,,12,37,147,,"33.004887,-117.112035",,,Twitter for iPad,en,33.004887,-117.112035
4.66353E+17,fire,San_Diego_40_mi_real,2014-05-13 23:01:21,2014-05-13 15:01:21,[Contemplates what to eat while there is a massive fire going on],merlyls,meryl,san diego // ca,,,FALSE,,109,113,1084,Pacific Time (US & Canada),"33.029187,-117.110109",,,Twitter for iPhone,en,33.029187,-117.110109
4.66353E+17,fire,San_Diego_40_mi_real,2014-05-13 23:03:45,2014-05-13 15:03:45,There's a big wildfire near my house and a lot of people are evaluating. But it's finals weeks. I have work to do. The fire can wait.,jaasssperr,Jasper Aaron,HAAAAAAWAAAII,,,FALSE,,219,162,4834,Hawaii,"33.029629,-117.109194",,,Twitter for iPhone,en,33.029629,-117.109194
4.66353E+17,fire,San_Diego_40_mi_real,2014-05-13 23:03:45,2014-05-13 15:03:45,So I went on the fire hunt with my family and yeah http://t.co/KPInnrYx7W,Good13____,?????,Rancho Bernardo ,,,FALSE,,416,228,5266,,"32.990446,-117.159299",,,Twitter for Android,en,32.990446,-117.159299
4.66354E+17,fire,San_Diego_40_mi_real,2014-05-13 23:06:48,2014-05-13 15:06:48,"Great Fire lyrics #748: ""we're on fire now"" --one direction",merlyls,meryl,san diego // ca,,,FALSE,2,109,113,1084,Pacific Time (US & Canada),"33.029235,-117.110100",,,Twitter for iPhone,en,33.029235,-117.1101
4.66354E+17,fire,San_Diego_40_mi_real,2014-05-13 23:08:17,2014-05-13 15:08:17,Im just trying to get to practice but noo this stupid fire is getting in the way,sophieajang,Sophie Ajang,,,,FALSE,,173,316,2922,,"32.950550,-117.243858",,,Twitter for iPhone,en,32.95055,-117.243858
4.66354E+17,fire,San_Diego_40_mi_real,2014-05-13 23:08:59,2014-05-13 15:08:59,I really don't like fire. :(,Rosierap,Rosie Rappaport,Somewhere in San Diego,,,FALSE,,4585,86,444,,"32.966117,-117.115761",,,Twitter for iPhone,en,32.966117,-117.115761
4.66354E+17,fire,San_Diego_40_mi_real,2014-05-13 23:09:07,2014-05-13 15:09:07,UPDATE : SDFIRE SAYS FIRE now at 700 acres,KrisLeFox5,Kristina Le,Sunny San Diego,,,FALSE,2,319,197,890,Pacific Time (US & Canada),"33.002312,-117.112224",,,Twitter for Android,en,33.002312,-117.112224
4.66355E+17,fire,San_Diego_40_mi_real,2014-05-13 23:09:22,2014-05-13 15:09:22,"Can we just have one channel with the fire on it, I don't really care much for news reporting like HERES A FIRE",jTwilla,Twizzle,San Diego,,,FALSE,,116,145,12026,Pacific Time (US & Canada),"32.626564,-117.076576",,,Twitter for iPhone,en,32.626564,-117.076576
4.66355E+17,fire,San_Diego_40_mi_real,2014-05-13 23:11:16,2014-05-13 15:11:16,The fire is burning by Rancho Santa Fe million dollar homes and it's making me so nervous ??,emilyyschramm,Emily Schramm,,,,FALSE,,155,123,609,,"33.009335,-116.786855",,,Twitter for iPhone,en,33.009335,-116.786855
4.66355E+17,fire,San_Diego_40_mi_real,2014-05-13 23:11:18,2014-05-13 15:11:18,Praying the fire doesn't come in the opposite way,Good13____,?????,Rancho Bernardo ,,,FALSE,2,416,228,5266,,"32.961122,-117.152813",,,Twitter for Android,en,32.961122,-117.152813
4.66355E+17,fire,San_Diego_40_mi_real,2014-05-13 23:12:57,2014-05-13 15:12:57,I've got finals tomorrow wtf fire!!!!!!,yelahralo,Haley Olar,San Diego,,,FALSE,,247,185,2612,Pacific Time (US & Canada),"32.959844,-117.116117",,,Twitter for iPhone,en,32.959844,-117.116117
4.66356E+17,fire,San_Diego_40_mi_real,2014-05-13 23:13:21,2014-05-13 15:13:21,Bernardo Fire: Animal information: The Helen Woodward Animal Center is preparing for a possible evacuation due to... http://t.co/VUBzAguK3l,SanDiegoCP,San Diego CP,"San Diego, CA",http://dlvr.it/5fs3Z5,,FALSE,,2905,5,103258,Eastern Time (US & Canada),"32.714312,-117.166272",,,dlvr.it,en,32.714312,-117.166272
4.66356E+17,fire,San_Diego_40_mi_real,2014-05-13 23:13:21,2014-05-13 15:13:21,"Not cool, fire",yelahralo,Haley Olar,San Diego,,,FALSE,,247,185,2612,Pacific Time (US & Canada),"32.964730,-117.124810",,,Twitter for iPhone,en,32.96473,-117.12481
